Kudos Date,Kudos Type,Parent ID
"Nov 8, 2019, 1:31:37 PM",Activity,2847588002
"Nov 8, 2019, 1:31:39 PM",Activity,2847655800
"Nov 8, 2019, 1:31:40 PM",Activity,2847586630
"Nov 8, 2019, 1:31:43 PM",Activity,2848843032
"Nov 8, 2019, 1:31:56 PM",Activity,2846620663
"Nov 8, 2019, 1:32:03 PM",Activity,2849677647
"Nov 11, 2019, 1:34:01 PM",Activity,2855295520
"Nov 11, 2019, 1:34:21 PM",Activity,2852540580
"Nov 11, 2019, 1:34:25 PM",Activity,2852436126
"Nov 11, 2019, 1:34:27 PM",Activity,2852271046
"Nov 11, 2019, 1:34:40 PM",Activity,2856233005
"Nov 13, 2019, 12:34:42 AM",Activity,2859660580
"Nov 13, 2019, 12:34:58 AM",Activity,2860999291
"Nov 13, 2019, 12:35:01 AM",Activity,2858933281
"Nov 13, 2019, 12:35:05 AM",Activity,2858634445
"Nov 13, 2019, 12:35:10 AM",Activity,2860999661
"Nov 13, 2019, 12:47:58 PM",Activity,2861042685
"Nov 13, 2019, 2:08:03 PM",Activity,2861932887
"Nov 14, 2019, 9:18:31 PM",Activity,2864238935
"Nov 14, 2019, 9:18:37 PM",Activity,2864232006
"Nov 14, 2019, 9:18:55 PM",Activity,2863239213
"Nov 18, 2019, 6:50:06 PM",Activity,2873894577
"Nov 18, 2019, 6:50:13 PM",Activity,2868958909
"Nov 18, 2019, 6:50:15 PM",Activity,2868847606
"Nov 18, 2019, 6:50:18 PM",Activity,2872143549
"Nov 18, 2019, 6:50:42 PM",Activity,2873656891
"Nov 27, 2019, 1:07:13 AM",Activity,2894090830
"Nov 28, 2019, 12:39:11 PM",Activity,2896190510
"Nov 28, 2019, 12:39:27 PM",Activity,2895027451
"Nov 28, 2019, 12:40:11 PM",Activity,2895892565
"Nov 28, 2019, 6:47:20 PM",Activity,2897647726
"Nov 28, 2019, 6:47:23 PM",Activity,2897352562
